country,position,rating,salary
USA,F,97,37436858
USA,F,97,32742000
Other,G-F,96,25842697
USA,F,96,37199000
USA,G,96,38199000
USA,G,95,40231758
USA,F-C,94,27093019
USA,F,93,33005556
USA,G,92,29802321
Other,C,91,27504630
Other,G,91,31742000
USA,G,90,38506482
USA,G,89,32742000
USA,F-C,89,27285000
USA,G,88,32742000
Other,C,88,25258427
USA,F,88,34449964
USA,G,88,3635760
USA,G,88,32742000
Other,G-F,87,7683360
USA,F-C,87,26000000
USA,G,87,27093018
USA,G,87,32511623
USA,G-F,87,27739975
USA,G,87,27556959
USA,G,87,21000000
Other,F-C,87,27285000
USA,G,87,27285000
Other,F,87,2351838
Other,F,87,8113929
USA,G,86,6392760
USA,G,86,27285000
USA,C,86,3500000
USA,C,86,27093018
USA,G,86,26131111
Other,C,86,28000000
USA,G,86,38199000
USA,F,85,7830000
USA,G,85,6273000
USA,G,85,15625000
Other,C,85,16896552
USA,F,85,32742000
Other,F-C,85,28000000
USA,G,85,19500000
USA,G,85,33296296
USA,G,85,38506482
USA,F,84,2686560
Other,G,84,4861207
USA,F,84,1974600
Other,G,84,4444746
USA,F,83,8556120
Other,F,83,22615559
USA,F,83,28942830
Other,F-C,83,5300400
Other,C,83,12000000
USA,F,83,18000000
Other,C,82,25842697
Other,C,82,9562920
USA,F-C,82,6699960
USA,G,82,12553571
USA,F-C,82,18000000
Other,F,81,23271604
USA,F,81,9757440
USA,F,81,14500000
USA,F,81,19863636
USA,F,81,7265485
Other,F-C,81,3529554
Other,C,81,16000000
USA,G,80,7317074
USA,F,80,17650000
USA,F,80,32700690
USA,G,80,17799677
Other,C,80,4767000
USA,F,80,27250576
USA,G,80,13486300
USA,F,80,11060000
USA,G,79,8730240
USA,F-C,79,3454080
USA,C,79,2376840
USA,G,79,8719320
USA,F,79,24147727
USA,F,79,6534829
USA,C,79,2177483
Other,G,79,3952920
USA,G,79,17839286
USA,G,79,10500000
USA,C,79,12093024
USA,C,79,4000000
USA,G,79,12500000
Other,F,79,18539130
Other,F,79,27504630
USA,F,79,12900000
Other,G,78,7839960
Other,G,78,16200000
Other,G,78,8529386
USA,C,78,5201400
Other,G,78,17150000
USA,G,78,14057730
USA,G-F,78,17185185
USA,G,78,2625717
USA,F,78,15000000
USA,G,78,2321735
USA,F,78,12727273
Other,C,78,12667885
USA,G-F,78,15625000
USA,F,78,6500000
USA,F-C,78,15000000
USA,G,78,19894737
Other,G,78,15500000
USA,G,78,19000000
USA,G,78,1948080
USA,F,78,13000000
USA,G,77,6400920
USA,F,77,7068360
Other,F,77,9258000
USA,C,77,5697600
Other,G-F,77,25565217
USA,G,77,2731713
USA,F,77,7339258
USA,F,77,4767000
USA,F,77,9000000
USA,G,77,20025127
Other,C,77,4160000
USA,F,77,4464286
USA,F-C,77,1882867
USA,F-C,77,14041096
Other,F-C,77,3754885
USA,F,77,3481985
Other,F,77,3481985
USA,G,77,4764960
USA,G,77,4463640
USA,F-C,77,14471910
USA,G,77,5813640
USA,G,76,7250000
USA,F,76,3500000
USA,G,76,6767000
USA,F,76,3755400
USA,G,76,8089282
Other,C,76,16229213
USA,G-F,76,2564753
USA,F,76,3405180
USA,F,76,5718000
USA,G,76,2636280
USA,F,76,5806440
USA,F,76,7059480
USA,F-C,76,4767000
USA,F,76,12784359
USA,F,76,4380120
USA,C,76,11286515
Other,G,76,1737145
USA,C,76,1702486
USA,G,76,8000000
USA,F,76,3389400
USA,G,76,2174310
USA,G-F,76,10740740
USA,G,76,2564753
USA,G,76,1995120
USA,G,76,12475385
USA,F,76,14654179
USA,G,76,9473684
USA,G,76,5307120
Other,C,75,5538540
Other,G,75,5846154
Other,C,75,17000000
USA,G-F,75,4161000
USA,G-F,75,2564753
USA,G,75,5348007
USA,G,75,8000000
USA,G,75,1934160
USA,F,75,9732396
Other,G-F,75,1737145
USA,G,75,10133907
USA,F,75,2500000
USA,F,75,15349400
USA,G,75,3827160
USA,C,75,4767000
Other,F,75,5500000
USA,G,75,4028400
USA,F,75,3709887
USA,G,75,1845301
USA,F,75,2000000
Other,F,74,3321029
USA,F,74,9073050
USA,G,74,4000000
USA,C,74,4240200
USA,G,74,9745200
USA,F-C,74,2578800
USA,F,74,11011234
USA,G-F,74,3280920
Other,G,74,12000000
Other,F-C,74,2813280
USA,F,74,7333333
USA,C,74,6813026
USA,G,74,3377568
USA,F-C,74,1937520
USA,F-C,74,4862040
Other,F,74,4469160
Other,G-F,73,2281800
USA,F,73,2603981
USA,G-F,73,3219480
USA,G,73,2320044
USA,C,73,2564753
USA,G,73,2239200
USA,F,73,3623000
USA,G,73,10116000
Other,F,73,1620564
Other,C,73,15450051
Other,G,73,4855800
Other,G,73,2530680
USA,F,73,11392857
USA,F,73,1897800
USA,G-F,73,18606556
USA,G,73,2764200
Other,C,73,2281800
USA,G,73,3640200
Other,F,73,3285120
Other,F,73,2478840
USA,F,73,2105520
USA,G,72,2429400
USA,G,72,2028594
USA,G,72,2905800
USA,F,72,2564753
USA,F,72,2332320
USA,G,72,15643750
USA,G-F,72,12759670
Other,F-C,72,3569643
USA,G,72,346288
USA,G,72,2149560
USA,G-F,72,3058800
USA,F,72,2961120
USA,G,72,3458400
USA,F,72,2379840
USA,F,72,3831840
USA,G-F,72,1290960
Other,C,72,2816760
Other,G,72,2964840
USA,F-C,72,2773550
USA,G-F,72,2582160
USA,F,72,4033440
USA,G,72,2193480
Other,F,72,2689920
USA,F,72,1950600
USA,G,71,1925880
USA,G,71,2475840
USA,G,71,2028594
Other,F,71,1911600
USA,G,71,3567720
Other,F,71,2063520
USA,F,70,2284800
USA,F-C,70,1962360
USA,F,70,13290395
Other,F-C,70,2338846
USA,F-C,70,50000
USA,F-C,70,12500000
USA,C,70,2033160
USA,G,70,1964760
USA,F-C,69,79568
USA,F,97,39219566
Other,G-F,97,27528088
USA,F,96,34379100
USA,G,96,41254920
USA,G,95,43006362
USA,F,95,42018900
USA,F-C,95,32742000
Other,G-F,94,8049360
USA,G,94,31626953
Other,C,91,29542010
USA,G,96,45780966
USA,F,96,40918900
USA,F,96,41180544
Other,G-F,96,39344900
Other,C,95,31579390
USA,F,95,39344900
Other,G-F,94,10174391
USA,G,94,39344900
USA,G,94,44310840
USA,F,90,35450412
Other,G,90,33722850
USA,F-C,90,29467800
USA,G,89,35361360
USA,G,89,34379100
USA,G,88,6571800
USA,G,88,41358814
Other,F,88,30559200
USA,G,88,5195501
USA,G,88,41358814
USA,G,88,28751774
Other,C,87,27525281
USA,G,87,30500000
Other,F-C,87,29467800
